x.Majority.protein.IDs	BUD13
E9PAV3	1128.14052626181
O00505	2179.29484532734
O43301	9686.01206930766
O75123	1351.90372447156
O75694	419.809513504103
O76039	2670.87912045344
O95619	8377.87401989039
P45880	2355.24120132275
P46782	1746.84931262721
P48729	1699.3014714344
P48730	60440.7419472997
P50750	2626.65484041091
P51955	957.197853136581
P55060	114828.488437035
P58317	5009.46057410712
P62913	3347.74883794308
P63267	7982.27927332355
Q03111	7940.35628715183
Q09019	1674.07576957422
Q12931	1239.00928309825
Q14126	12208.1885080231
Q15131	1452.08034795203
Q2TAY7	12285.7039262702
Q32P41	6113.52202463606
Q59GN2	27323.0496150768
Q5BJF6	15720.49042535
Q5JSZ5	507.255869259296
Q5M9Q1	4503.43310039237
Q5RL73	2321.97836918336
Q6P0N0	448.380116192355
Q6P4F7	188.855688099166
Q6PJP8	137.588305277287
Q7L590	124589.096327654
Q86WP2	2748.81938469145
Q8IWY8	16809.5689645637
Q8IX21	1523.95847267088
Q8NCN4	1044.470026958
Q8TAD8	3637.10898140893
Q92830	4905.41500353434
Q969K4	7539.82122826674
Q96BR9	8696.39624668818
Q96E39	4456.64938943987
Q96I99	1592949.00369788
Q96JF6	446.75245550966
Q96KR7	2960.02534826813
Q96RR1	562.250178577871
Q99880	122356.523421061
Q9BR77	486221.644150699
Q9BWF2	12938.5303801423
Q9NPF5	27006.2859554721
Q9UBB6	2681.3926111661
Q9UFE4	1763.70619091718
Q9UJ78	1752.59971795221
Q9ULM3	842.747872203454
Q9UPN4	1166.73097131479
Q9Y2K1	1758.06122629798
Q9Y3A2	30286.6151252464
Q9BRD0	44255936.125606
Q9Y388	2436506.16636636
Q8N680	47785.7753133978
Q68D10	1177952.43786501
Q96T37	113591.526020337
Q9HCG8	128026.142548531
O94906	21191.528413894
P42568	87079.2121336899
O60870	4335739.3244036
Q9H2Y7	8552.17576605565
O60231	384046.511161516
Q96DF8	101181.192646496
Q16778	2724917.12448515
Q92917	6741217.66798461
Q96N46	163798.907688105
Q8IWC1	39866.9342269533
P17480	102278.425962876
Q71DI3	25607.4573525102
Q8NDT2	48647.3298550045
Q15326	14147.1829858721
Q96KM6	44509.6470020281
O60583	2071.93490345168
Q9HBM6	5348.71533939928
Q64LD2	8609.71726551333
Q02241	35287.8484940405
Q8WUA2	302933.698218214
P62701	14268.0680242487
Q9H0H5	160012.179422519
Q9NXE8	788476.849575806
P55201	1156.07933103277
Q96MU7	9974.8247185668
Q13123	2515559.68472221
Q9ULW0	331251.723023514
P46783	56902.8008784125
Q9HC52	908317.387880072
Q9BRR8	5053.77204656459
Q2TBE0	77263.470715581
Q9HCD5	20193.9406154691
P78316	101174.748967246
P23528	76975.112007044
Q96EU6	26500.3062034684
P62979	1176210.70424598
Q13573	1255800.13578568
Q92620	90865.6966310694
P62249	4122.8776866916
A2AJT9	7109.86537155442
Q8N9M1	5695.74210318585
P63261	29229.8784335885
Q9H6R4	686389.60616379
P55081	184803.363196129
Q86X95	127995.205376239
P38159	1352513.01865766
