x.Majority.protein.IDs	ESRP1
A0AV96	570369.476781593
A6NKT7	8376.5118000665
O15234	75551.7349288856
O43251	12313.3277114209
O95819	3189.42559627631
P11940	109078.165517281
P42694	6544.94083148466
P62854	58491.3877042995
P62917	13976.7937729649
Q01085	27591.7781435746
Q04637	86100.1384079741
Q13310	17256.3556132555
Q14444	7499.45540788473
Q15032	37660.8338173482
Q5JSZ5	1098.40457764816
Q5T5C0	7787.12396611767
Q5T6F2	727414.649744583
Q5TC82	43956.5048668863
Q5VZF2	155316.868770103
Q6NXG1	6011657.54350365
Q71RC2	574482.016132284
Q7Z739	531243.378545729
Q8IWZ3	8602.19810698052
Q8IZH2	124083.571152474
Q8NDV7	31310.2240255911
Q8TB72	593310.899834247
Q8WWM7	632730.554907594
Q92540	3977.53127351675
Q92615	128599.230606985
Q96E39	47227.8205307568
Q96PU8	58405.1053621821
Q99700	32656.1868297756
Q99880	1440906.97187818
Q9BUL5	5431.81881326175
Q9BUT9	40293.283449595
Q9BYJ9	33722.0448369851
Q9H6T0	41854.8779892149
Q9HCJ3	63481.3949546778
Q9NRA8	8683.62848874808
Q9NZB2	41608.3711249444
Q9NZI8	10936.8595255694
Q9UFW8	21332.9784907466
Q9UPQ9	197830.466245109
Q9Y224	12112.0896827612
Q9Y5A9	193119.180034427
Q9Y6M1	52943.1592778888
Q14671	1936264.5575466
Q92900	769357.689779058
Q14157	2794942.18413108
Q6PKG0	12890.8997383598
Q6Y7W6	46893.1977173601
Q96I24	1272307.68823144
O95758	958905.210112578
Q8N680	98887.7281218443
Q9Y520	114111.624342911
P29558	1802178.93523824
P78344	14785.46493122
Q71DI3	237488.008054538
Q15434	231893.804087959
Q8IY67	1104891.98730404
Q7Z417	3078882.74387742
O75534	524643.445803302
Q13283	253257.100916716
P15311	9561.2143370891
Q9NR56	3035673.75169845
P48634	600863.723426357
Q92879	542343.22654782
Q96EP5	279223.011715229
Q13492	485881.940979176
P23528	467161.386245304
P49792	84945.1103932994
P52272	2248660.38949735
P27816	10186.1953347812
P63261	115174.324797812
Q7Z2W4	452516.654355266
P26599	8421230.37655265
Q9UKA9	23588.0860458097
Q15459	296720.46561675
Q92945	30200.7617634461
P43243	514224.865552892
Q00341	9770.73378415675
P78527	724.138102431193
Q96AE4	44089.4814083362
Q8IVT2	9457.59815161711
Q9NUL3	62068.4068647314
Q9UK61	71139.4532346744
O00571	11543843.9575017
Q13148	875447.343766369
Q15717	623357.47056952
O60504	66510.6078109082
Q96KR1	626034.292919593
O75683	235848.791585908
Q9UKJ3	44468.252990075
P84103	252350.867678093
P23588	90995.0786693116
O43809	14723482.130516
