Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-8953854,Metabolism of RNA,,-38,8.4,20,30284,644,346,62,18,2.1,1454|1736|2197|3550|4236|5431|5437|5700|5709|6169|6191|6193|6204|6209|6217|6233|6625|8449|8487|8602|9631|9785|10128|10283|10643|11218|22894|22938|23225|24148|25929|26986|27238|27316|50628|51077|51118|51388|51634|51637|54512|54555|54883|54960|55094|55234|55505|55759|55813|57570|57703|79753|79760|79833|81875|84135|84248|84811|84950|85313|88745|143884,CSNK1E|DKC1|FAU|IK|MFAP1|POLR2B|POLR2H|PSMC1|PSMD3|RPL38|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|SNRNP70|DHX16|GEMIN2|NOP14|NUP155|DHX38|LRPPRC|CWC27|IGF2BP3|DDX20|DIS3|SNW1|NUP210|PRPF6|GEMIN5|PABPC1|GPKOW|RBMX|GEMIN4|FCF1|UTP11|NIP7|RBMX2|RTRAF|EXOSC4|DDX49|CWC25|GEMIN8|GPATCH1|SMU1|NOP10|WDR12|UTP6|TRMT5|CWC22|SNIP1|GEMIN7|GEMIN6|ISG20L2|UTP15|FYTTD1|BUD13|PRPF38A|PPIL4|RRP36|CWF19L2,-33,MyList
GO Biological Processes,19,GO:0022613,ribonucleoprotein complex biogenesis,19_GO:0009987 cellular process,-36,9.8,21,30284,483,346,54,16,2,708|1654|1736|2197|3326|6135|6169|6191|6193|6209|6217|6233|6606|6838|6839|8161|8487|8602|9816|11218|11338|22894|23212|24148|25929|50628|51077|51118|51388|51634|54433|54512|54555|54960|55505|55759|55813|57455|64216|64282|64434|64794|65083|79039|79753|79760|79833|81875|84135|84154|84811|88745|91582|91746,C1QBP|DDX3X|DKC1|FAU|HSP90AB1|RPL11|RPL38|RPS4X|RPS5|RPS15|RPS16|RPS27A|SMN1|SURF6|SUV39H1|COIL|GEMIN2|NOP14|URB2|DDX20|U2AF2|DIS3|RRS1|PRPF6|GEMIN5|GEMIN4|FCF1|UTP11|NIP7|RBMX2|GAR1|EXOSC4|DDX49|GEMIN8|NOP10|WDR12|UTP6|REXO1|TFB2M|TENT4B|NOM1|DDX31|NOL6|DDX54|SNIP1|GEMIN7|GEMIN6|ISG20L2|UTP15|RPF2|BUD13|RRP36|RPS19BP1|YTHDC1,-32,MyList
GO Biological Processes,19,GO:0016071,mRNA metabolic process,19_GO:0009987 cellular process,-29,7.2,17,30284,646,346,53,15,1.9,472|708|1736|3182|3550|4236|6606|6625|8161|8220|8449|8487|9541|9785|10283|11218|11338|22890|22894|22938|22944|24148|25929|26986|27238|27316|29890|29896|50628|51441|51634|54512|54883|54960|55094|55149|55234|57703|64282|79577|79665|79753|79760|79833|84060|84186|84811|84950|91746|140890|143884|221092|494115,ATM|C1QBP|DKC1|HNRNPAB|IK|MFAP1|SMN1|SNRNP70|COIL|ESS2|DHX16|GEMIN2|CIR1|DHX38|CWC27|DDX20|U2AF2|ZBTB1|DIS3|SNW1|KIN|PRPF6|GEMIN5|PABPC1|GPKOW|RBMX|RBM15B|TRA2A|GEMIN4|YTHDF2|RBMX2|EXOSC4|CWC25|GEMIN8|GPATCH1|MTPAP|SMU1|CWC22|TENT4B|CDC73|DHX40|SNIP1|GEMIN7|GEMIN6|RBM48|ZCCHC7|BUD13|PRPF38A|YTHDC1|SREK1|CWF19L2|HNRNPUL2|RBMXL1,-25,MyList
GO Biological Processes,19,GO:0042254,ribosome biogenesis,19_GO:0009987 cellular process,-28,11,19,30284,309,346,39,11,1.7,708|1654|1736|2197|6135|6169|6191|6193|6209|6217|6233|6838|6839|8602|9816|22894|23212|50628|51077|51118|51388|54433|54512|54555|55505|55759|55813|57455|64216|64282|64434|64794|65083|79039|81875|84135|84154|88745|91582,C1QBP|DDX3X|DKC1|FAU|RPL11|RPL38|RPS4X|RPS5|RPS15|RPS16|RPS27A|SURF6|SUV39H1|NOP14|URB2|DIS3|RRS1|GEMIN4|FCF1|UTP11|NIP7|GAR1|EXOSC4|DDX49|NOP10|WDR12|UTP6|REXO1|TFB2M|TENT4B|NOM1|DDX31|NOL6|DDX54|ISG20L2|UTP15|RPF2|RRP36|RPS19BP1,-24,MyList
GO Biological Processes,19,GO:0008380,RNA splicing,19_GO:0009987 cellular process,-27,9,18,30284,407,346,42,12,1.8,708|3550|4236|6606|6625|8161|8220|8449|8487|9541|9785|10283|11218|11338|22938|24148|25929|26986|27238|27316|29890|29896|50628|51634|51637|54883|54960|55094|55234|57703|79665|79753|79760|79833|84060|84811|84950|91746|140890|143884|221092|494115,C1QBP|IK|MFAP1|SMN1|SNRNP70|COIL|ESS2|DHX16|GEMIN2|CIR1|DHX38|CWC27|DDX20|U2AF2|SNW1|PRPF6|GEMIN5|PABPC1|GPKOW|RBMX|RBM15B|TRA2A|GEMIN4|RBMX2|RTRAF|CWC25|GEMIN8|GPATCH1|SMU1|CWC22|DHX40|SNIP1|GEMIN7|GEMIN6|RBM48|BUD13|PRPF38A|YTHDC1|SREK1|CWF19L2|HNRNPUL2|RBMXL1,-23,MyList
GO Biological Processes,19,GO:0006397,mRNA processing,19_GO:0009987 cellular process,-26,8,17,30284,492,346,45,13,1.8,708|3550|4236|6606|6625|8161|8220|8449|8487|9541|9785|10283|11218|11338|22938|22944|24148|25929|26986|27238|27316|29890|29896|50628|51634|54883|54960|55094|55149|55234|57703|64282|79577|79665|79753|79760|79833|84060|84811|84950|91746|140890|143884|221092|494115,C1QBP|IK|MFAP1|SMN1|SNRNP70|COIL|ESS2|DHX16|GEMIN2|CIR1|DHX38|CWC27|DDX20|U2AF2|SNW1|KIN|PRPF6|GEMIN5|PABPC1|GPKOW|RBMX|RBM15B|TRA2A|GEMIN4|RBMX2|CWC25|GEMIN8|GPATCH1|MTPAP|SMU1|CWC22|TENT4B|CDC73|DHX40|SNIP1|GEMIN7|GEMIN6|RBM48|BUD13|PRPF38A|YTHDC1|SREK1|CWF19L2|HNRNPUL2|RBMXL1,-23,MyList
GO Biological Processes,19,GO:0000398,"mRNA splicing, via spliceosome",19_GO:0009987 cellular process,-26,11,18,30284,273,346,35,10,1.6,3550|4236|6606|6625|8161|8220|8449|8487|9785|10283|11218|11338|22938|24148|25929|26986|27238|27316|29896|50628|51634|54883|54960|55094|55234|57703|79665|79753|79760|79833|84811|84950|91746|143884|221092,IK|MFAP1|SMN1|SNRNP70|COIL|ESS2|DHX16|GEMIN2|DHX38|CWC27|DDX20|U2AF2|SNW1|PRPF6|GEMIN5|PABPC1|GPKOW|RBMX|TRA2A|GEMIN4|RBMX2|CWC25|GEMIN8|GPATCH1|SMU1|CWC22|DHX40|SNIP1|GEMIN7|GEMIN6|BUD13|PRPF38A|YTHDC1|CWF19L2|HNRNPUL2,-22,MyList
GO Biological Processes,19,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",19_GO:0009987 cellular process,-26,11,18,30284,273,346,35,10,1.6,3550|4236|6606|6625|8161|8220|8449|8487|9785|10283|11218|11338|22938|24148|25929|26986|27238|27316|29896|50628|51634|54883|54960|55094|55234|57703|79665|79753|79760|79833|84811|84950|91746|143884|221092,IK|MFAP1|SMN1|SNRNP70|COIL|ESS2|DHX16|GEMIN2|DHX38|CWC27|DDX20|U2AF2|SNW1|PRPF6|GEMIN5|PABPC1|GPKOW|RBMX|TRA2A|GEMIN4|RBMX2|CWC25|GEMIN8|GPATCH1|SMU1|CWC22|DHX40|SNIP1|GEMIN7|GEMIN6|BUD13|PRPF38A|YTHDC1|CWF19L2|HNRNPUL2,-22,MyList
GO Biological Processes,19,GO:0000375,"RNA splicing, via transesterification reactions",19_GO:0009987 cellular process,-25,11,18,30284,277,346,35,10,1.6,3550|4236|6606|6625|8161|8220|8449|8487|9785|10283|11218|11338|22938|24148|25929|26986|27238|27316|29896|50628|51634|54883|54960|55094|55234|57703|79665|79753|79760|79833|84811|84950|91746|143884|221092,IK|MFAP1|SMN1|SNRNP70|COIL|ESS2|DHX16|GEMIN2|DHX38|CWC27|DDX20|U2AF2|SNW1|PRPF6|GEMIN5|PABPC1|GPKOW|RBMX|TRA2A|GEMIN4|RBMX2|CWC25|GEMIN8|GPATCH1|SMU1|CWC22|DHX40|SNIP1|GEMIN7|GEMIN6|BUD13|PRPF38A|YTHDC1|CWF19L2|HNRNPUL2,-22,MyList
GO Cellular Components,20,GO:0005681,spliceosomal complex,,-21,12,17,30284,208,346,28,8.1,1.5,3550|4236|6625|8220|8449|8487|9785|10283|11338|22938|24148|26986|27238|27316|29896|51634|54883|55094|55234|57703|79665|79753|84060|84811|84950|140890|143884|494115,IK|MFAP1|SNRNP70|ESS2|DHX16|GEMIN2|DHX38|CWC27|U2AF2|SNW1|PRPF6|PABPC1|GPKOW|RBMX|TRA2A|RBMX2|CWC25|GPATCH1|SMU1|CWC22|DHX40|SNIP1|RBM48|BUD13|PRPF38A|SREK1|CWF19L2|RBMXL1,-18,MyList
