UMAP_1	UMAP_2
POLR2E	-3.14548037225933	-2.63065282544353
POLR1E	-3.71803591425151	-1.21063844403484
NPM1	-5.92474959070415	-0.257960002033499
NIFK	-5.47557089502544	-0.359053115455893
NCL	-4.62213347131939	-0.595368663875845
FBL	-4.42351839716167	-0.707051674930838
DKC1	-3.55296585733623	-1.13791434010723
COIL	-2.94856951410503	-1.32678488930919
TOE1	-3.52552101785869	-1.41943363389232
GTF2F1	-3.14342043573589	-1.80861584386089
WRAP53	2.71384968583851	0.587342356236192
Gemin2	3.28771450345784	1.03244440713665
Gemin6	3.15789165323048	0.949142743737909
Gemin7	3.4401459318903	0.921324421556207
Gemin8	3.47951995556622	0.496572730035993
SMN1	3.57136442487507	0.346287106068346
LSM11	3.96552725111514	0.263598819167825
CENPB	2.01475336377888	2.80405195513508
CELF1	8.25066067998677	-0.11672453126171
PTBP1	-0.59184811289043	-5.58339540204265
SFPQ	-1.63724634821147	-6.02229778012493
Tardbp	-1.70462296182842	-5.83100120267132
NONO	-2.06171629602642	-5.91247121533611
PSPC1	-2.12275526697368	-5.9045356913493
NUDT21	-2.50379154855937	-5.70090572079876
PPP1R8	-2.98640177423687	-4.8889688654826
SRSF2	-2.84400675470562	-5.31712285718181
PRPF4	-2.82064888651104	-5.09766046246746
IK	-2.56402180368633	-3.71423284253338
SUMO1	-3.20012018854351	-2.93032995900371
ZCCHC12	-2.63296435053081	-2.80409542760113
DAXX	-2.87885878259868	-2.17159907063701
SP100	-3.40864012415142	-2.45542375287273
PML	-3.44095633203716	-2.80580560406902
CBX1	-3.36717245752544	-2.40290204724529
HP1BP3	-3.38387177164287	-2.32867781361797
TERF1	-2.72339127237529	-2.36724583348492
NUP50	-2.31576702768535	-3.01764599522808
LMNB1	-2.68539021188945	4.95623977938435
LMNA	-2.65628740961284	5.00944050112507
HNRNPD	-0.413606383154101	-5.48484603604534
ACBD5 1-1	0.38060381238728	3.17900713244221
ACTB 1-1	1.83656694715291	2.58647139826557
ACTR2 1-1	0.908822796991162	2.75522001543781
ACTR3 1-1	2.66132809942036	2.71460207262776
AGO2 8-2	6.39777018850117	-0.726459185688284
Ago2 8-9	6.30411126439839	0.19047688403866
AIFM1 1-1	1.02622988050251	2.4013645247533
AIFM1 1-3	-0.359240748235889	2.37867708960316
AMOT 1-1	3.43427216236859	2.14684661188862
ANAPC2 1-1	2.2828983289507	2.92037852564594
ANKRD17-C 8-2	7.35831477468281	0.473389272482607
APEX1-1 1-1	-0.81880066568584	2.39257677355549
APEX1 1-1	-0.840411402532764	2.67060311594746
ARNT	-3.07899210626812	-4.82231513699749
ARP2 1-3	-0.918956496069141	-2.11298433980205
ARP3B 1-3	-0.451665140936084	-1.23580602845409
ARPC1B 1-3	-4.69337771112651	-0.551843683330801
ASF1A 1-1	-3.33536217386455	-3.18844787320354
ASH2L 1-1	-0.0636987465116454	1.78344889441273
ATG12 1-1	0.0876493675020265	2.10552271166584
AURKB 1-3	-0.847936846563525	2.35801978865406
BRD9-IFN-α2 4-2	2.22414221589833	2.31143267908833
BRD9+IFN-α2 4-2	1.88656749551564	2.41921253958485
BUD13	-2.92308590585918	-2.2861148520396
C11orf52 1-1	0.528410456826978	2.34842773237965
C19orf53 8-5	-5.34852335626812	-0.565556089489249
C1orf63	-2.84666273767681	-5.4782284899638
C3orf62-C 3-2	-1.35822842294902	0.382928912432405
CALR3 1-1	-0.080174900839038	2.62497862139485
CBX3 1-1	-3.77271435434551	-2.69320480069378
CCNF-LPAA 2-2	-0.246479727575488	-1.33838168820598
CCNF 2-2	0.128283284356885	-2.03053585728863
CD3EAP 1-1	-5.6441242473814	-0.261085550396231
CDC14A 8-11	2.88357701127797	1.26291050472996
CDC14B 8-11	-4.36546728784771	-0.616855780689505
CDC5L 8-2	-2.64026186639995	-4.21780769070843
CDK7 1-3	-5.64685175592632	0.160720308215829
CDK8 1-3	-2.95018360788555	-1.7250637217448
CELF1-C 8-2	-0.804499365637012	-5.4172343417094
CELF1 8-2	-0.748505331823535	-5.67363492688396
CENPA 1-1	-5.98690722162456	0.0277989701344696
CK2 4-5	-5.41673300440044	-0.138195077984122
CluH1-30min 2-6	-3.33206293756694	-1.27699927529552
CluH2-16H 2-6	-1.40411255533428	1.95042582312367
CNOT1 8-2	-1.191612936804	2.63434036532185
CNOT2-C 8-2	7.85307791059285	-0.543498675434378
CNOT6L-C 8-2	7.59366776769429	0.0865221516205994
CNOT7-C 8-2	6.36716320340901	0.0306357935979096
CNOT9-C(RQCD1) 8-2	7.74826981847554	0.199570109040949
CNOT9(RQCD1) 8-2	5.93596556012898	-0.787864844410208
COIL 1-1	0.833507083108716	-1.01129130563
CPSF1 8-2	-2.55819914514751	-5.60519305905559
CTBP1-iso2-C 3-2	-3.5869028347227	-3.12567655286053
CTDNEP1 8-11	-1.72911856348247	4.99610431948444
CTNNB1 1-1	1.14510991399556	2.50531657496235
DAXX-A297P	-3.15171406442852	-2.67642657002666
DAXX-E465X	-4.1647369640562	-0.83688894948223
DAXX-L130R	-3.18764565164775	-2.55880657872417
DAXX-R306X	-2.8767092006895	-2.00253097256878
DAZL(miss 1~22aa) 8-2	-0.694044329473682	-5.56388608655193
DCAF7-C 3-2	0.542886517694287	2.99924763003132
DCP1A 8-2	5.58705701654225	-0.376793305485037
DCTN1 1-1	3.27357467239171	1.8936900691106
DDX1-C 8-2	-2.70732424432964	5.40210111895344
DDX19B-C 8-2	-1.7096121090147	-2.53130141934612
DDX20 8-2	3.30217232530385	0.368835736901971
DDX23 1-1	-5.51421568567485	-0.0183339520380768
DDX54-IR 8-8	-3.20790980035991	-0.313025574295309
DDX54-noIR 8-8	-3.49656126672954	-0.43440041980007
DDX6-C 8-2	6.05131318395405	-0.266887049286154
DHX40 1-1	-5.8811676281187	0.0372854069783417
DHX8 1-1	-2.6979834812376	-5.54795972546795
DNAJA1-C 2-10	-0.72945568735332	0.410236691029283
DNAJA1 2-10	-0.714443899938769	0.784385491998407
DNAJA2 2-10	-0.905216433355517	3.82611640253803
DNAJB1-C 2-10	-2.24851772958965	-2.57365194997051
DNAJB1-PRKACA 2-10	-1.50594780618877	-1.1572360201762
DNAJB12 2-10	-0.518479086706348	1.02663480201504
DNAJB14 2-10	-1.08867762262554	-0.199825327007559
DNAJB2 2-10	-1.45922062570781	4.38107093134663
DNAJB3 2-10	-3.8254601734373	-2.76970426282146
DNAJB4 2-10	-0.790805079290576	-1.85855261525371
DNAJB5 2-10	-2.82306358988018	-0.592495123951224
DNAJB6a-C 2-10	-3.64811537439556	-0.520414869396475
DNAJB6b 2-10	-2.8261778133604	4.89867838183186
DNAJB7 2-10	-1.01305220300884	-0.924748580066946
DNAJB8 2-10	3.36191987221508	0.215517808587762
DNAJB9 2-10	-0.770555712530322	-0.364335517494467
DNAJC1-C 2-10	-1.80803988153667	5.51836307802937
DNAJC14 2-10	-2.63812802011699	4.35132010737202
DNAJC16-C 2-10	-2.40064165765972	5.61614425936482
DNAJC17-C 2-10	-3.53272602731914	-1.22323028287151
DNAJC2-C 2-10	-0.819093920538135	-0.803318302242545
DNAJC21 2-10	-0.531803347418017	-5.63530389508465
DNAJC25-C 2-10	-2.35069058115215	5.63832100191853
DNAJC25-GNG10 2-10	-0.0529517906400634	-1.64802734097698
DNAJC27-C 2-10	1.08830191915303	-1.0764961644099
DNAJC28-C 2-10	-0.55892870599956	-0.525619546978262
DNAJC5B 2-10	-0.0992493408414794	1.19437630930683
DNAJC5G 2-10	-2.29707930261821	4.25172360697529
DNAJC6 2-10	0.221960089853101	2.76199086466572
DNAJC8-C 2-10	-3.2562315242979	-0.862876813022879
DNAJC9-C 2-10	-4.78136370355815	-0.409078280536917
DRG1-C 2-10	-0.510069109747119	-5.32107297620037
DRG2-C 2-10	-0.529013850042529	-5.25177184781292
DUSP22 8-11	-1.72056839639873	4.18838532725117
DUSP26 8-11	2.53750600641041	1.1044131115987
DUSP5 8-11	-3.6175744312498	-0.258596222011832
DYNC1I2 1-1	0.989833377054028	2.88817961970112
EDF1 5-4	-2.92825529749126	-2.95152155598858
EIF4A3-C 8-2	-2.84343741113872	-5.03153506955364
EIF4ENIF1-C 8-2	7.66036083524495	-0.389634708969382
EIF6 1-1	2.28877463166981	2.53801329890034
ELAVL1 8-2	-1.12403652841777	-5.86147395810345
EMD 1-1	-2.15690252954692	5.38058956423542
